model,image_name,mosz1,mosz2,mosz3,prompt
Lafite,024-4.png,2.162638818,2.177323159,2.460396236,"""a tree reflected in the sunroof of a blue car"""
Lafite,054-2.png,2.206244391,2.531513166,2.349726303,"""A photo of a lotus flower made of water. """
Unidiffuser,043-4.png,2.369252968,2.151627015,1.959765787,"""a sword slicing through a loaf of bread"""
Controlnet,000-2.png,2.737443915,2.124112139,2.8616913,"""a corgi"""
stable-diffusion,054-3.png,3.063813221,2.861219671,2.686551128,"""A photo of a lotus flower made of water. """
Unidiffuser,013-3.png,2.949581086,2.854007383,2.820546982,"""a teddy bear on a skateboard"""
Lafite,069-3.png,2.114098788,2.219983022,2.156857392,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
Controlnet,028-3.png,2.79142403,2.619666189,2.979483853,"""Snow mountain and tree reflection in the lake"""
DALLE,022-2.png,2.727408063,2.482554013,2.536198375,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
Unidiffuser,061-4.png,2.557515879,2.39322921,1.886649731,"""the word 'HELLO' on a girl's face"""
DALLE,032-4.png,2.456231737,2.147528447,2.638360419,"""a large white yacht in a calm bay on a sunny day"""
stable-diffusion,077-3.png,2.715092722,2.79233836,3.074227191,"""two pianos next to each other"""
Glide,033-1.png,2.20124989,2.163525192,2.089943925,"""purple lego dollhouse with a pool and a swing"""
stable-diffusion,059-3.png,2.814701809,2.881561908,2.630341493,"""Downtown Shanghai at sunrise. detailed ink wash."""
Controlnet,066-1.png,3.019448621,2.704273391,2.022903046,"""the word 'START'"""
Unidiffuser,003-3.png,2.050262037,2.018696455,2.770785615,"""a bench"""
stable-diffusion,042-3.png,2.753755476,2.736938566,2.714894,"""A bicycle on top of a boat"""
Controlnet,003-1.png,2.890489424,2.784217395,3.007594507,"""a bench"""
DALLE,092-4.png,2.349081791,2.343873584,2.168966288,"""a car with no windows"""
Unidiffuser,066-3.png,3.252742209,3.15947868,2.939405953,"""the word 'START'"""
Controlnet,023-4.png,2.93027411,2.354178935,2.08621146,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
DALLE,086-3.png,2.363449293,2.324505967,2.10263722,"""A robot with a black visor and the number 42 on its chest. It stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. wide-angle view. comic book illustration."""
Glide,054-3.png,2.229548056,2.743707847,2.257189991,"""A photo of a lotus flower made of water. """
DALLE,044-2.png,3.181284096,2.85584034,2.873077907,"""an orange wearing a cowboy hat"""
Glide,004-3.png,2.122176087,2.488757543,2.849176957,"""a flower"""
Controlnet,070-1.png,2.34353909,2.168516855,2.176363167,"""Four cats surrounding a dog"""
Controlnet,042-2.png,2.886639669,2.534201338,2.749206965,"""A bicycle on top of a boat"""
stable-diffusion,007-3.png,1.927413263,1.913131448,1.969278625,"""a kitchen"""
Lafite,077-2.png,2.507197202,2.506686211,2.522041487,"""two pianos next to each other"""
Glide,071-1.png,1.94746381,1.981147397,1.726002501,"""three children on a couch"""
DALLE,081-1.png,3.211673286,2.942998477,3.148857351,"""two people facing each other"""
Controlnet,070-3.png,2.712404268,2.290877393,2.057927597,"""Four cats surrounding a dog"""
Unidiffuser,042-4.png,2.783411684,2.621113896,3.002278479,"""A bicycle on top of a boat"""
Glide,028-4.png,2.18660997,2.645224337,2.72452931,"""Snow mountain and tree reflection in the lake"""
DALLE,096-3.png,3.211638767,3.039501104,3.081172289,"""We painted the wall with cracks."""
stable-diffusion,062-4.png,3.331731534,3.180028416,2.631012299,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Glide,098-4.png,1.598925221,1.913217761,2.106716058,"""a street without vehicles"""
Controlnet,003-2.png,3.175650076,3.226849682,3.234746413,"""a bench"""
Controlnet,024-3.png,2.766417845,2.6317988,2.649185426,"""a tree reflected in the sunroof of a blue car"""
stable-diffusion,017-1.png,3.358260279,3.031174419,2.973724735,"""a coffee table with a magazine on it"""
Lafite,014-1.png,2.125187994,2.1891155,1.992447063,"""a pumpkin with a candle in it"""
Unidiffuser,019-1.png,2.801082436,2.69404093,2.759285835,"""a boat in the canals of venice"""
Unidiffuser,052-3.png,2.826760804,2.625680224,2.730199363,"""a cartoon of a train going to the moon"""
stable-diffusion,059-2.png,2.540941778,2.683149062,2.657052187,"""Downtown Shanghai at sunrise. detailed ink wash."""
Unidiffuser,035-3.png,2.548586934,2.274420395,2.186426123,"""a bloody mary cocktail next to a napkin"""
Unidiffuser,002-3.png,3.267397527,3.349470737,3.153652025,"""a boat"""
Unidiffuser,019-2.png,1.593169363,1.975238963,2.319355217,"""a boat in the canals of venice"""
Controlnet,069-1.png,2.471714185,2.683945163,2.48211412,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
DALLE,034-4.png,2.815404183,2.69082017,2.551469332,"""a small garden with an apple tree behind it"""
Controlnet,053-1.png,2.804971399,2.868384668,2.654390985,"""A spaceship made of cardboard."""
Unidiffuser,046-3.png,2.530246359,2.294396764,2.486306255,"""a drawing of a series of musical notes wrapped around the Earth"""
Unidiffuser,043-1.png,3.380731648,3.323174235,2.813059129,"""a sword slicing through a loaf of bread"""
DALLE,071-1.png,2.724352675,2.607913981,2.809170486,"""three children on a couch"""
Lafite,076-2.png,2.047656455,2.03672507,1.861839717,"""three small yellow boxes"""
Glide,067-4.png,2.30144095,2.387513736,1.793817372,"""a yellow wall with 'Hello, world.' written on it"""
Lafite,072-1.png,1.843661151,1.437382737,1.980553334,"""two motorcycles facing each other"""
Unidiffuser,018-4.png,3.584969818,3.141630654,3.530940164,"""Sunset over the sea"""
stable-diffusion,033-2.png,2.633524069,2.845540372,2.750314293,"""purple lego dollhouse with a pool and a swing"""
stable-diffusion,072-1.png,3.213656889,3.004325872,2.836323248,"""two motorcycles facing each other"""
Controlnet,014-3.png,3.357437988,3.281063365,2.925115951,"""a pumpkin with a candle in it"""
Lafite,034-3.png,1.791001566,2.172290437,2.409162461,"""a small garden with an apple tree behind it"""
DALLE,072-4.png,2.817970978,2.820684598,3.149460231,"""two motorcycles facing each other"""
DALLE,076-1.png,2.977979674,3.021274508,3.466484582,"""three small yellow boxes"""
Lafite,036-3.png,2.089082908,1.829179176,2.269120328,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
stable-diffusion,035-1.png,1.86762239,1.93325182,2.138352908,"""a bloody mary cocktail next to a napkin"""
Lafite,099-4.png,2.191962421,2.461258808,2.311826763,"""An aerial view of Ha Long Bay without any boats"""
Controlnet,043-4.png,2.830535313,2.569607726,2.781307775,"""a sword slicing through a loaf of bread"""
Unidiffuser,097-3.png,2.767918778,2.670973523,2.450626024,"""a kitchen without a refrigerator"""
Unidiffuser,071-4.png,2.813571438,2.700418725,3.014144878,"""three children on a couch"""
Glide,024-3.png,2.35064117,2.472848763,2.012287995,"""a tree reflected in the sunroof of a blue car"""
Lafite,025-4.png,2.07569492,1.767865537,1.817991484,"""a pineapple with one beer to its left and two beers on its right"""
Lafite,087-2.png,2.170949331,1.984307525,2.179771915,"""an aerial view of a dining room"""
Glide,000-3.png,2.037780462,2.297944405,2.74504577,"""a corgi"""
Unidiffuser,021-3.png,1.739054405,2.093599522,2.087915025,"""a grandmother reading a book to her grandson and granddaughter"""
Glide,076-1.png,2.37851884,2.278917077,2.299616421,"""three small yellow boxes"""
Controlnet,083-2.png,3.03761004,2.661903953,3.020841774,"""view of a clock tower from above"""
Glide,042-1.png,1.93013945,2.148232273,1.708570626,"""A bicycle on top of a boat"""
Unidiffuser,093-2.png,2.473025051,2.60775082,2.024989611,"""a closet without clothes"""
Glide,079-2.png,1.996742215,2.139019149,1.925166444,"""Times Square with thousands of dogs running around"""
stable-diffusion,009-1.png,1.908191649,2.010128705,2.356695797,"""a photo of san francisco's golden gate bridge"""
DALLE,093-2.png,2.556704376,2.50600334,2.635942781,"""a closet without clothes"""
Unidiffuser,045-1.png,2.314198755,2.013519357,1.892679669,"""A bowl of soup that looks like a monster with tofu says deep learning"""
Lafite,076-1.png,2.058635271,1.927383096,2.107509002,"""three small yellow boxes"""
Controlnet,005-3.png,2.729935164,2.429774699,2.477342436,"""a green pepper"""
Unidiffuser,091-4.png,2.786977994,2.66626791,3.210121263,"""a classroom without any students"""
stable-diffusion,025-3.png,2.706076426,2.489275599,2.429222404,"""a pineapple with one beer to its left and two beers on its right"""
stable-diffusion,023-1.png,2.827687253,2.725675947,2.856363443,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
Unidiffuser,036-3.png,2.173999052,2.061954628,2.621892618,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Controlnet,086-1.png,2.694643436,2.591977532,2.449652429,"""A robot with a black visor and the number 42 on its chest. It stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. wide-angle view. comic book illustration."""
stable-diffusion,048-1.png,2.631778196,2.714305055,2.289152101,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
Lafite,026-3.png,1.668807554,1.789419194,1.778762225,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
DALLE,091-4.png,2.939540872,2.804448781,3.012248037,"""a classroom without any students"""
Unidiffuser,002-4.png,2.926571563,2.965363313,3.093234011,"""a boat"""
Glide,079-1.png,2.037956703,2.073035973,1.940022528,"""Times Square with thousands of dogs running around"""
stable-diffusion,043-3.png,2.755804044,2.934426109,2.601443884,"""a sword slicing through a loaf of bread"""
Lafite,057-4.png,1.990189933,2.200936841,2.397371986,"""an oil painting of a tree and a building"""
stable-diffusion,086-3.png,2.692899949,2.607908984,1.988707979,"""A robot with a black visor and the number 42 on its chest. It stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. wide-angle view. comic book illustration."""
DALLE,029-4.png,2.83387818,2.786078018,2.899618854,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
Unidiffuser,006-3.png,1.903176173,2.408446174,2.49215631,"""a book cover"""
Controlnet,026-2.png,2.899280076,2.764986588,2.711572059,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
Unidiffuser,061-1.png,2.890657847,2.638190135,2.167667842,"""the word 'HELLO' on a girl's face"""
Glide,020-1.png,1.827451481,1.953056885,1.909533224,"""A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope."""
Lafite,013-3.png,2.000709511,1.99245594,2.042783167,"""a teddy bear on a skateboard"""
stable-diffusion,037-1.png,3.234632856,2.985780835,3.005301983,"""A bare kitchen has wood cabinets and white appliances"""
Glide,025-1.png,1.972059605,2.358179458,2.063482125,"""a pineapple with one beer to its left and two beers on its right"""
DALLE,037-3.png,3.107178806,3.168685165,3.384762918,"""A bare kitchen has wood cabinets and white appliances"""
Glide,037-2.png,1.927068765,2.34673247,2.520473335,"""A bare kitchen has wood cabinets and white appliances"""
DALLE,030-1.png,2.882286458,2.640127594,2.865603852,"""a dolphin in an astronaut suit on saturn"""
Glide,006-2.png,2.13559939,2.401338911,2.525250562,"""a book cover"""
Unidiffuser,089-3.png,2.007375094,1.845003863,2.383065437,"""an aerial view of the Great Wall"""
Unidiffuser,011-2.png,2.923191074,2.748150864,3.118961245,"""a woman with long hair"""
Unidiffuser,003-1.png,2.430224233,2.687421205,2.804292425,"""a bench"""
Unidiffuser,032-4.png,3.008121493,3.164042328,3.264125742,"""a large white yacht in a calm bay on a sunny day"""
stable-diffusion,029-2.png,2.637996998,2.677788422,2.628367286,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
stable-diffusion,076-1.png,3.122241333,3.147274606,3.005207829,"""three small yellow boxes"""
DALLE,068-4.png,2.715495156,2.681783063,2.330721234,"""a store front with 'Grassy Meadow' written on it"""
Glide,048-2.png,2.028139179,2.216442663,2.067766396,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
Glide,056-1.png,1.797421718,1.898214538,1.943969387,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Unidiffuser,031-3.png,2.182109088,2.434056571,2.116911395,"""a library filled with kids reading books"""
Lafite,002-3.png,2.41839458,2.201024343,2.802729752,"""a boat"""
Controlnet,083-3.png,2.939289497,2.938224701,2.853380858,"""view of a clock tower from above"""
Controlnet,058-4.png,2.980008665,2.906743788,2.947729713,"""a painting of a white country home with a wrap-around porch"""
Unidiffuser,098-4.png,2.522142729,2.195177306,2.058261584,"""a street without vehicles"""
Glide,018-4.png,2.347330404,2.879134131,2.707642487,"""Sunset over the sea"""
Unidiffuser,038-3.png,2.86538443,2.896960389,3.064909228,"""a fall landscape with a small cottage next to a lake"""
stable-diffusion,053-1.png,2.866087456,2.844905233,2.11068551,"""A spaceship made of cardboard."""
DALLE,074-4.png,3.358783978,3.396558447,2.762461563,"""ten red apples"""
Unidiffuser,062-2.png,2.416309266,2.168227594,2.323066852,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Glide,089-2.png,2.058131554,2.765453273,2.826880702,"""an aerial view of the Great Wall"""
DALLE,075-3.png,3.084498649,2.898863644,3.183035956,"""three green peppers"""
Glide,037-3.png,2.018908899,2.356169712,2.485417456,"""A bare kitchen has wood cabinets and white appliances"""
Lafite,015-2.png,1.764779652,1.811830342,2.095506507,"""A bowl of Chicken Pho"""
stable-diffusion,075-1.png,3.03627922,2.916833803,3.182802985,"""three green peppers"""
Controlnet,016-1.png,3.11088882,2.837831212,2.78356942,"""A heart made of chocolate"""
Controlnet,016-2.png,3.012241508,3.049431648,2.803023239,"""A heart made of chocolate"""
stable-diffusion,033-4.png,2.534043093,2.494368908,2.586744974,"""purple lego dollhouse with a pool and a swing"""
stable-diffusion,046-2.png,2.526409989,2.397310037,2.364972962,"""a drawing of a series of musical notes wrapped around the Earth"""
stable-diffusion,051-3.png,2.64051071,2.530301828,2.791929413,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
DALLE,056-3.png,2.907322722,2.935688405,2.802133286,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Lafite,038-4.png,1.932402262,2.280371828,2.588783295,"""a fall landscape with a small cottage next to a lake"""
DALLE,054-3.png,2.909902318,2.801735002,2.560157109,"""A photo of a lotus flower made of water. """
Glide,081-1.png,1.827268494,2.1687218,1.742282676,"""two people facing each other"""
Controlnet,090-4.png,2.532791564,2.423553271,2.199245494,"""A bird gives an apple to a squirrel"""
Lafite,092-2.png,1.9303776,1.825086201,2.133938388,"""a car with no windows"""
DALLE,070-3.png,2.52175011,2.092242409,2.08852603,"""Four cats surrounding a dog"""
DALLE,003-1.png,3.103741413,3.010697749,3.255734797,"""a bench"""
Lafite,004-4.png,2.232288935,2.445469134,2.798191509,"""a flower"""
DALLE,078-4.png,2.668243285,2.517397884,2.168102248,"""a tennis court with three yellow cones on it"""
Lafite,093-2.png,2.203032702,1.976207722,2.106790028,"""a closet without clothes"""
DALLE,094-3.png,3.199187097,2.931940812,2.689622398,"""a banana without its peel"""
Lafite,016-2.png,2.744504745,2.459680041,2.703587602,"""A heart made of chocolate"""
stable-diffusion,073-1.png,3.211396361,3.022879565,3.26035192,"""two red balls on a table"""
Glide,024-2.png,1.769891398,2.116907509,1.957627465,"""a tree reflected in the sunroof of a blue car"""
stable-diffusion,048-2.png,2.91619191,2.697930909,2.193056333,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
DALLE,018-1.png,3.055997298,3.19332298,3.186417089,"""Sunset over the sea"""
Lafite,056-1.png,2.112111572,2.232402255,2.559959149,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
Unidiffuser,000-3.png,1.885929946,2.17871531,2.524782104,"""a corgi"""
Controlnet,074-3.png,2.741368621,2.389328136,2.298254325,"""ten red apples"""
Glide,005-1.png,2.131704215,2.573254832,3.058474908,"""a green pepper"""
Unidiffuser,022-4.png,2.042278711,2.018264017,2.108544752,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
DALLE,062-3.png,2.796892368,2.449083067,2.234392532,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Unidiffuser,067-1.png,2.361865799,2.62109318,2.348390831,"""a yellow wall with 'Hello, world.' written on it"""
Glide,000-1.png,1.920940712,2.470829726,2.628297409,"""a corgi"""
stable-diffusion,030-4.png,2.549712839,2.784791865,2.351339628,"""a dolphin in an astronaut suit on saturn"""
Controlnet,016-4.png,2.927924284,3.100767319,3.110960995,"""A heart made of chocolate"""
Unidiffuser,097-1.png,2.781303847,2.83622342,2.181923959,"""a kitchen without a refrigerator"""
Controlnet,072-3.png,3.307258279,3.403197425,3.350210937,"""two motorcycles facing each other"""
Controlnet,026-4.png,3.183755797,2.847869942,2.695019175,"""A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."""
stable-diffusion,016-1.png,3.142803867,3.22742813,3.173066819,"""A heart made of chocolate"""
DALLE,097-2.png,2.618336874,2.473942134,2.277484341,"""a kitchen without a refrigerator"""
Lafite,044-3.png,2.1632628,1.906000594,1.912672059,"""an orange wearing a cowboy hat"""
Glide,054-1.png,2.086472065,2.650655757,2.24572779,"""A photo of a lotus flower made of water. """
Unidiffuser,025-2.png,2.043334621,2.284707938,2.308423427,"""a pineapple with one beer to its left and two beers on its right"""
DALLE,008-4.png,3.204327931,3.21124865,3.303086583,"""a fall landscape"""
Lafite,030-2.png,2.014552287,1.845891913,2.011723947,"""a dolphin in an astronaut suit on saturn"""
Lafite,067-3.png,2.273523595,2.255462458,2.165435585,"""a yellow wall with 'Hello, world.' written on it"""
Unidiffuser,051-1.png,3.026693894,2.722756821,2.893550813,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
stable-diffusion,015-1.png,2.196008945,2.215917224,2.566190961,"""A bowl of Chicken Pho"""
DALLE,042-1.png,3.024821035,2.620310883,3.037601854,"""A bicycle on top of a boat"""
DALLE,032-2.png,2.601447639,2.505408203,2.837760003,"""a large white yacht in a calm bay on a sunny day"""
stable-diffusion,004-4.png,3.151652633,3.131157896,3.136473821,"""a flower"""
Unidiffuser,048-3.png,2.581570509,2.116122005,2.419774007,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
Glide,059-2.png,1.960172538,2.217170559,2.296175853,"""Downtown Shanghai at sunrise. detailed ink wash."""
DALLE,067-2.png,2.765893616,2.677367566,2.356621458,"""a yellow wall with 'Hello, world.' written on it"""
Unidiffuser,039-3.png,2.635982159,2.775455375,2.674681529,"""a teddy bear on a skateboard in times square"""
Lafite,009-2.png,2.210899294,2.515079005,2.586390719,"""a photo of san francisco's golden gate bridge"""
Controlnet,033-1.png,2.729130334,2.907056185,2.691599201,"""purple lego dollhouse with a pool and a swing"""
Glide,099-1.png,2.251097763,2.487572655,2.398048937,"""An aerial view of Ha Long Bay without any boats"""
Glide,030-1.png,2.196155692,2.071608378,1.947306108,"""a dolphin in an astronaut suit on saturn"""
Glide,086-3.png,2.048738769,2.041360328,2.004247936,"""A robot with a black visor and the number 42 on its chest. It stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. wide-angle view. comic book illustration."""
Controlnet,017-1.png,3.388313561,3.130439526,3.064526219,"""a coffee table with a magazine on it"""
Glide,013-1.png,1.99234502,2.093158078,2.029573777,"""a teddy bear on a skateboard"""
stable-diffusion,032-1.png,3.394864951,3.06961248,3.262968264,"""a large white yacht in a calm bay on a sunny day"""
stable-diffusion,010-4.png,1.798384559,1.857530884,1.901483739,"""A giraffe walking through a green grass covered field"""
Unidiffuser,093-4.png,1.649427457,1.681743082,1.694021149,"""a closet without clothes"""
Lafite,057-2.png,1.869649894,1.908480855,2.246280266,"""an oil painting of a tree and a building"""
stable-diffusion,087-4.png,3.170427916,3.067271604,3.235581316,"""an aerial view of a dining room"""
Glide,066-4.png,1.767009481,1.85602196,1.856322325,"""the word 'START'"""
stable-diffusion,036-1.png,2.451044355,2.558426139,2.574015209,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
Unidiffuser,089-1.png,2.835800966,2.342877344,2.496762344,"""an aerial view of the Great Wall"""
stable-diffusion,037-2.png,3.080634794,2.937492652,2.928998463,"""A bare kitchen has wood cabinets and white appliances"""
DALLE,023-3.png,2.207508643,2.225131611,2.465876709,"""a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese"""
DALLE,010-2.png,2.658342451,2.687053147,2.654961201,"""A giraffe walking through a green grass covered field"""
Controlnet,006-2.png,2.707952435,2.562020069,2.572758956,"""a book cover"""
stable-diffusion,061-4.png,2.981437671,2.751042272,2.442951259,"""the word 'HELLO' on a girl's face"""
Controlnet,015-1.png,2.876634634,2.990372382,2.726566268,"""A bowl of Chicken Pho"""
stable-diffusion,041-3.png,2.227572031,2.153007095,2.226042466,"""A photo of an astronaut riding a horse in the forest."""
DALLE,040-2.png,2.980815442,3.14966336,2.410652414,"""A blue colored dog"""
Lafite,062-4.png,2.212706039,2.271632142,2.490589459,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Unidiffuser,075-3.png,2.539714771,2.275623593,2.131070315,"""three green peppers"""
Glide,041-1.png,1.970175137,2.088479879,2.115960177,"""A photo of an astronaut riding a horse in the forest."""
Lafite,074-2.png,1.811585771,1.81748077,1.65652513,"""ten red apples"""
Lafite,018-4.png,2.502266798,3.224497296,3.30187878,"""Sunset over the sea"""
Glide,014-4.png,2.510111021,2.484839663,2.924122211,"""a pumpkin with a candle in it"""
Controlnet,085-2.png,2.699442455,2.758132937,3.097556221,"""a close-up of an old-fashioned cocktail"""
Lafite,037-2.png,1.930411606,2.222285493,2.433845477,"""A bare kitchen has wood cabinets and white appliances"""
stable-diffusion,058-2.png,2.435347769,2.489774799,2.531850976,"""a painting of a white country home with a wrap-around porch"""
Controlnet,043-2.png,2.912999245,2.511574702,2.670559225,"""a sword slicing through a loaf of bread"""
stable-diffusion,083-1.png,2.925067963,2.690576404,2.827038832,"""view of a clock tower from above"""
Lafite,063-1.png,1.904271687,1.977189313,1.935602757,"""A sign that says Deep Learning"""
Unidiffuser,018-1.png,2.494314184,2.540326828,2.797768968,"""Sunset over the sea"""
DALLE,069-3.png,2.787612018,2.762714898,2.236294446,"""A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."""
stable-diffusion,083-3.png,3.16616489,3.314831372,3.466475822,"""view of a clock tower from above"""
Glide,001-2.png,1.702838444,1.959968945,1.601311432,"""a girl"""
Unidiffuser,095-2.png,2.482924674,2.340103298,2.146603278,"""a plate that has no bananas on it. there is a glass without orange juice next to it."""
DALLE,054-2.png,3.041215164,3.134355392,2.364891066,"""A photo of a lotus flower made of water. """
DALLE,062-1.png,2.775905648,2.533346717,2.647770516,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Controlnet,034-3.png,2.345554411,2.462894533,2.784573769,"""a small garden with an apple tree behind it"""
Unidiffuser,024-2.png,2.870987323,2.797969122,2.789343681,"""a tree reflected in the sunroof of a blue car"""
Glide,083-4.png,2.082139845,2.564042979,1.858459453,"""view of a clock tower from above"""
DALLE,008-2.png,2.75931753,2.797024266,2.938401836,"""a fall landscape"""
Lafite,031-1.png,2.088449704,2.286204915,2.6420681,"""a library filled with kids reading books"""
Lafite,053-1.png,2.523470893,2.377652398,2.478198753,"""A spaceship made of cardboard."""
Lafite,034-2.png,2.007504928,2.346110796,2.341116846,"""a small garden with an apple tree behind it"""
DALLE,058-1.png,2.457457899,2.758775147,2.791280482,"""a painting of a white country home with a wrap-around porch"""
Glide,051-1.png,2.096296687,1.818813348,1.846238043,"""a portrait of a man wearing sunglasses and a business suit, painting in pop art style"""
Glide,098-3.png,1.969174891,2.540395268,2.704713784,"""a street without vehicles"""
Controlnet,034-4.png,2.563092486,2.435390619,2.613399288,"""a small garden with an apple tree behind it"""
stable-diffusion,053-4.png,2.916074555,2.865387271,2.944921356,"""A spaceship made of cardboard."""
Unidiffuser,074-1.png,2.559307171,2.672140666,2.322132987,"""ten red apples"""
Controlnet,099-4.png,2.721637371,2.454677584,2.567712807,"""An aerial view of Ha Long Bay without any boats"""
Controlnet,030-2.png,2.441509515,2.111481297,1.939387011,"""a dolphin in an astronaut suit on saturn"""
DALLE,000-2.png,3.105519673,3.031286185,3.284745144,"""a corgi"""
DALLE,021-4.png,2.863412844,2.99224364,3.001214021,"""a grandmother reading a book to her grandson and granddaughter"""
Glide,078-4.png,2.061151608,2.16927916,1.874777731,"""a tennis court with three yellow cones on it"""
Controlnet,002-4.png,2.760890383,2.703288341,2.726883551,"""a boat"""
stable-diffusion,013-2.png,3.386078739,3.163768572,3.183521274,"""a teddy bear on a skateboard"""
Controlnet,029-3.png,2.910921842,2.690428382,2.914119945,"""An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"""
Unidiffuser,030-3.png,2.316568992,2.225805425,2.070092759,"""a dolphin in an astronaut suit on saturn"""
Unidiffuser,053-3.png,2.139803567,1.967905376,1.908514121,"""A spaceship made of cardboard."""
stable-diffusion,021-3.png,2.218430485,1.980842437,2.202400726,"""a grandmother reading a book to her grandson and granddaughter"""
DALLE,048-4.png,2.89437196,2.71398845,2.323171128,"""A large city fountain that has milk instead of water. Several cats are leaning into the fountain."""
Glide,018-2.png,2.336488081,2.789404042,2.874862954,"""Sunset over the sea"""
DALLE,053-4.png,2.785515606,2.629974693,2.761522833,"""A spaceship made of cardboard."""
DALLE,002-4.png,2.965608111,2.809758802,2.843671735,"""a boat"""
Lafite,038-2.png,2.10705427,2.541226716,3.057265005,"""a fall landscape with a small cottage next to a lake"""
Lafite,064-2.png,1.997585573,2.104590119,1.986374206,"""the word 'APPLE' on an apple"""
Lafite,098-4.png,2.212641198,2.174060583,2.078096317,"""a street without vehicles"""
Glide,040-2.png,2.099253906,2.354394329,2.563052774,"""A blue colored dog"""
stable-diffusion,040-2.png,3.237280731,3.233533118,3.125224183,"""A blue colored dog"""
Lafite,056-2.png,2.112822689,2.033406681,2.062053814,"""an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"""
stable-diffusion,022-1.png,2.285205921,2.277274803,1.964295791,"""a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. """
DALLE,009-3.png,3.366789566,3.291779776,3.207741551,"""a photo of san francisco's golden gate bridge"""
DALLE,036-4.png,2.850939806,2.863187697,2.606026335,"""a kids' book cover with an illustration of white dog driving a red pickup truck"""
stable-diffusion,038-3.png,2.361562184,2.238304386,2.417261765,"""a fall landscape with a small cottage next to a lake"""
DALLE,035-4.png,2.729581519,2.861809789,2.7522563,"""a bloody mary cocktail next to a napkin"""
Controlnet,061-2.png,2.741197595,2.570108492,2.260503918,"""the word 'HELLO' on a girl's face"""
Glide,070-3.png,1.798549806,2.032857654,1.872761991,"""Four cats surrounding a dog"""
Glide,061-2.png,1.801139042,1.776088448,1.685451088,"""the word 'HELLO' on a girl's face"""
Glide,062-1.png,2.52307577,2.495474236,2.513002042,"""a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background."""
Unidiffuser,066-2.png,3.183244893,3.011335737,3.059840276,"""the word 'START'"""
Controlnet,008-1.png,2.763913163,2.460767524,2.683990064,"""a fall landscape"""
