Image_prompt,Text_prompt,Generated_image,MOS_q,MOS_a,MOS_c,MOS
,"there is a red couch and a table with a lamp on it, thomas kinkade. cute cozy room, warm colored furniture, popular interior design style",SD_1128_10.jpg,2.3371,2.3767,3.7525,8.4663
,"there is a red couch and a table with a lamp on it, thomas kinkade. cute cozy room, warm colored furniture, popular interior design style",SD_1128_11.jpg,2.7083,2.095,3.2117,8.015
,several trains are parked on the tracks in a train yard,SD_1129_00.jpg,2.2513,2.4267,3.1263,7.8043
,several trains are parked on the tracks in a train yard,SD_1129_01.jpg,2.575,2.5925,2.908,8.0755
,several trains are parked on the tracks in a train yard,SD_1129_10.jpg,2.398,1.9856,3.574,7.9576
,several trains are parked on the tracks in a train yard,SD_1129_11.jpg,2.808,2.94,3.0488,8.7968
,bridge over a body of water with a boat in the water,SD_1130_00.jpg,2.926,2.9167,2.257,8.0997
,bridge over a body of water with a boat in the water,SD_1130_01.jpg,2.5414,2.3925,2.8857,7.8196
,bridge over a body of water with a boat in the water,SD_1130_10.jpg,2.176,2.325,2.755,7.256
,bridge over a body of water with a boat in the water,SD_1130_11.jpg,2.722,2.9683,2.6129,8.3032
,there are many corns in a basket on the table,SD_1131_00.jpg,1.9444,1.74,3.11,6.7944
,there are many corns in a basket on the table,SD_1131_01.jpg,2.35,2.2167,3.35,7.9167
,there are many corns in a basket on the table,SD_1131_10.jpg,2.6214,2.1825,3.5775,8.3814
,there are many corns in a basket on the table,SD_1131_11.jpg,1.8,1.7771,2.9575,6.5346
,there is a microphone with headphones on it and a microphone stand,SD_1132_00.jpg,2.94,2.775,3.2588,8.9738
,there is a microphone with headphones on it and a microphone stand,SD_1132_01.jpg,2.722,2.1917,2.9943,7.908
,there is a microphone with headphones on it and a microphone stand,SD_1132_10.jpg,2.782,2.4017,3.42,8.6037
,there is a microphone with headphones on it and a microphone stand,SD_1132_11.jpg,2.72,2.755,3.5433,9.0183
,mortar and pestle with leaves on a white table,SD_1133_00.jpg,3.14,2.9086,3.042,9.0906
,mortar and pestle with leaves on a white table,SD_1133_01.jpg,2.685,2.33,2.71,7.725
,mortar and pestle with leaves on a white table,SD_1133_10.jpg,2.77,2.355,3.2275,8.3525
,mortar and pestle with leaves on a white table,SD_1133_11.jpg,2.4267,2.324,3.0522,7.8029
,mountain with a snow covered peak in the distance,SD_1134_00.jpg,2.878,2.8775,3.35,9.1055
,mountain with a snow covered peak in the distance,SD_1134_01.jpg,2.982,2.6475,3.64,9.2695
,mountain with a snow covered peak in the distance,SD_1134_10.jpg,3.055,3.3911,3.425,9.8711
,mountain with a snow covered peak in the distance,SD_1134_11.jpg,3.09,3.2067,3.2575,9.5542
,a red mushroom on a mossy ground in the woods,SD_1135_00.jpg,2.4625,2.1933,3.56,8.2158
,a red mushroom on a mossy ground in the woods,SD_1135_01.jpg,2.4733,2.0667,3.21,7.75
,a red mushroom on a mossy ground in the woods,SD_1135_10.jpg,2.0786,2.123,3.384,7.5856
,a red mushroom on a mossy ground in the woods,SD_1135_11.jpg,2.78,2.0933,3.4975,8.3708
,a man sitting on a stool playing an accordion,SD_1136_00.jpg,2.03,1.804,3.1043,6.9383
,a man sitting on a stool playing an accordion,SD_1136_01.jpg,1.8983,1.5514,3.4314,6.8811
,a man sitting on a stool playing an accordion,SD_1136_10.jpg,2.67,2.16,3.4767,8.3067
,a man sitting on a stool playing an accordion,SD_1136_11.jpg,2.03,1.7933,3.2325,7.0558
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",SD_1137_00.jpg,2.1771,1.8925,3.115,7.1846
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",SD_1137_01.jpg,2.412,1.874,3.18,7.466
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",SD_1137_10.jpg,1.8322,1.555,3.0188,6.406
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",SD_1137_11.jpg,2.3217,2.5783,3.4617,8.3617
,panda bear sitting on a log in a forest with trees,SD_1138_00.jpg,2.472,2.18,3.39,8.042
,panda bear sitting on a log in a forest with trees,SD_1138_01.jpg,3.0383,2.962,3.7588,9.7591
,panda bear sitting on a log in a forest with trees,SD_1138_10.jpg,2.6825,2.41,3.3486,8.4411
,panda bear sitting on a log in a forest with trees,SD_1138_11.jpg,2.264,2.0614,3.5833,7.9087
,a telescope on a pole with a building in the background,SD_1139_00.jpg,2.634,2.6117,3.6657,8.9114
,a telescope on a pole with a building in the background,SD_1139_01.jpg,2.8038,2.706,3.05,8.5598
,a telescope on a pole with a building in the background,SD_1139_10.jpg,2.6957,2.104,3.3033,8.103
,a telescope on a pole with a building in the background,SD_1139_11.jpg,1.9714,1.64,2.6689,6.2803
,there are some oak acorns hanging from a tree branch with leaves,SD_1140_00.jpg,2.72,2.4425,3.3311,8.4936
,there are some oak acorns hanging from a tree branch with leaves,SD_1140_01.jpg,2.52,2.0333,3.09,7.6433
,there are some oak acorns hanging from a tree branch with leaves,SD_1140_10.jpg,2.5375,2.694,3.74,8.9715
,there are some oak acorns hanging from a tree branch with leaves,SD_1140_11.jpg,2.2183,2.1333,3.22,7.5716
,a stack of macarons on a table,SD_1141_00.jpg,3.336,3.1117,3.8014,10.2491
,a stack of macarons on a table,SD_1141_01.jpg,3.53,3.1425,3.955,10.6275
,a stack of macarons on a table,SD_1141_10.jpg,3.3033,3.1544,3.7617,10.2194
,a stack of macarons on a table,SD_1141_11.jpg,3.51,3.3375,3.8917,10.7392
,truck driving down a dirt road,SD_1142_00.jpg,2.7183,2.3957,3.555,8.669
,truck driving down a dirt road,SD_1142_01.jpg,2.6057,1.986,3.4986,8.0903
,truck driving down a dirt road,SD_1142_10.jpg,2.35,2.3,3.86,8.51
,truck driving down a dirt road,SD_1142_11.jpg,2.6057,2.5725,1.5622,6.7404
,there is a ping-pong paddle and a ping-pong ball on the table,SD_1143_00.jpg,1.876,1.6,2.0117,5.4877
,there is a ping-pong paddle and a ping-pong ball on the table,SD_1143_01.jpg,1.956,1.51,2.1271,5.5931
,there is a ping-pong paddle and a ping-pong ball on the table,SD_1143_10.jpg,2.575,1.7783,2.8433,7.1966
,there is a ping-pong paddle and a ping-pong ball on the table,SD_1143_11.jpg,1.9433,1.9275,2.3688,6.2396
,a bunch of needles on a table,SD_1144_00.jpg,2.34,2.0814,3.0367,7.4581
,a bunch of needles on a table,SD_1144_01.jpg,2.4686,2.3783,3.266,8.1129
,a bunch of needles on a table,SD_1144_10.jpg,2.6833,2.535,3.785,9.0033
,a bunch of needles on a table,SD_1144_11.jpg,2.1183,1.99,3.2825,7.3908
,windmills in a field at sunset with mountains in the background,SD_1145_00.jpg,2.9225,2.4633,3.78,9.1658
,windmills in a field at sunset with mountains in the background,SD_1145_01.jpg,3.01,3.118,2.3543,8.4823
,windmills in a field at sunset with mountains in the background,SD_1145_10.jpg,1.9833,2.104,3.3567,7.444
,windmills in a field at sunset with mountains in the background,SD_1145_11.jpg,2.83,2.766,3.9944,9.5904
,a split pomegranate,SD_1146_00.jpg,2.21,1.9525,3.426,7.5885
,a split pomegranate,SD_1146_01.jpg,3.026,2.595,3.515,9.136
,a split pomegranate,SD_1146_10.jpg,2.8,2.485,3.3283,8.6133
,a split pomegranate,SD_1146_11.jpg,2.305,2.308,3.315,7.928
,a pot with steam rising out of it,SD_1147_00.jpg,2.718,2.686,3.2833,8.6873
,a pot with steam rising out of it,SD_1147_01.jpg,2.9663,2.9222,3.7556,9.6441
,a pot with steam rising out of it,SD_1147_10.jpg,2.7967,2.6275,3.4917,8.9159
,a pot with steam rising out of it,SD_1147_11.jpg,3.206,2.84,3.71,9.756
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",SD_1148_00.jpg,2.54,2.158,3.144,7.842
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",SD_1148_01.jpg,1.745,1.5129,3.2129,6.4708
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",SD_1148_10.jpg,2.09,2.22,3.1267,7.4367
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",SD_1148_11.jpg,2.345,1.944,3.1388,7.4278
,tennis racket and two tennis balls on a tennis court,SD_1149_00.jpg,2.4017,2.005,3.1086,7.5153
,tennis racket and two tennis balls on a tennis court,SD_1149_01.jpg,2.0533,2.23,2.3929,6.6762
,tennis racket and two tennis balls on a tennis court,SD_1149_10.jpg,2.4812,2.272,3.2,7.9532
,tennis racket and two tennis balls on a tennis court,SD_1149_11.jpg,2.12,2.03,3.1089,7.2589
,yellow canola flowers in a field with a blue sky in the background,SD_1150_00.jpg,3.0783,3.1129,3.445,9.6362
,yellow canola flowers in a field with a blue sky in the background,SD_1150_01.jpg,3.208,3.1829,3.3533,9.7442
,yellow canola flowers in a field with a blue sky in the background,SD_1150_10.jpg,2.575,2.89,2.6971,8.1621
,yellow canola flowers in a field with a blue sky in the background,SD_1150_11.jpg,2.268,2.398,3.1338,7.7998
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",SD_1151_00.jpg,1.96,1.5656,3.042,6.5676
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",SD_1151_01.jpg,2.5967,2.4067,3.2757,8.2791
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",SD_1151_10.jpg,2.2129,2.1233,3.27,7.6062
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",SD_1151_11.jpg,2.0743,1.8017,2.426,6.302
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",SD_1152_00.jpg,2.6614,2.6,3.151,8.4124
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",SD_1152_01.jpg,2.38,2.12,2.885,7.385
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",SD_1152_10.jpg,2.6886,2.2071,2.9325,7.8282
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",SD_1152_11.jpg,2.875,2.8133,3.423,9.1113
,there are pink carnations,SD_1153_00.jpg,2.282,2.23,3.1614,7.6734
,there are pink carnations,SD_1153_01.jpg,2.898,2.465,3.118,8.481
,there are pink carnations,SD_1153_10.jpg,2.6371,2.106,3.2486,7.9917
,there are pink carnations,SD_1153_11.jpg,2.882,2.3725,3.0957,8.3502
,sailboat with a colorful sail on the water with a man sitting on the sail,SD_1154_00.jpg,2.7633,2.405,2.785,7.9533
,sailboat with a colorful sail on the water with a man sitting on the sail,SD_1154_01.jpg,2.71,2.0983,2.9267,7.735
,sailboat with a colorful sail on the water with a man sitting on the sail,SD_1154_10.jpg,2.71,3.1367,3.182,9.0287
,sailboat with a colorful sail on the water with a man sitting on the sail,SD_1154_11.jpg,2.164,2.1567,2.7943,7.115
,there are several different colored liquids in glass bottles next to corn,SD_1155_00.jpg,2.2171,2.008,2.822,7.0471
,there are several different colored liquids in glass bottles next to corn,SD_1155_01.jpg,2.3743,2.4675,2.9167,7.7585
,there are several different colored liquids in glass bottles next to corn,SD_1155_10.jpg,2.412,1.98,2.648,7.04
,there are several different colored liquids in glass bottles next to corn,SD_1155_11.jpg,2.465,1.8375,2.4883,6.7908
,a couple of nuts and a bolt on a ground,SD_1156_00.jpg,2.264,1.917,2.8125,6.9935
,a couple of nuts and a bolt on a ground,SD_1156_01.jpg,2.2,2.05,3.16,7.41
,a couple of nuts and a bolt on a ground,SD_1156_10.jpg,2.1525,1.82,2.7127,6.6852
,a couple of nuts and a bolt on a ground,SD_1156_11.jpg,2.368,2.165,2.9783,7.5113
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",SD_1157_00.jpg,2.3783,2.678,2.4275,7.4838
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",SD_1157_01.jpg,2.915,2.8125,2.9283,8.6558
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",SD_1157_10.jpg,3.015,2.88,2.9633,8.8583
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",SD_1157_11.jpg,2.39,2.5,2.898,7.788
,cargo ship in the water with mountains in the background,SD_1158_00.jpg,2.3443,2.0486,3.2857,7.6786
,cargo ship in the water with mountains in the background,SD_1158_01.jpg,2.8388,2.6825,3.318,8.8393
,cargo ship in the water with mountains in the background,SD_1158_10.jpg,2.6833,2.338,3.532,8.5533
,cargo ship in the water with mountains in the background,SD_1158_11.jpg,3.08,2.52,3.502,9.102
,a pencil and ruler on a blueprint,SD_1159_00.jpg,2.9167,2.4075,2.2017,7.5259
,a pencil and ruler on a blueprint,SD_1159_01.jpg,2.2929,2.1171,2.7483,7.1583
,a pencil and ruler on a blueprint,SD_1159_10.jpg,2.575,2.1025,2.942,7.6195
,a pencil and ruler on a blueprint,SD_1159_11.jpg,2.6,2.45,3.2675,8.3175
,skier in black jacket riding on snowmobile in open field,SD_1160_00.jpg,3.03,2.9233,3.146,9.0993
,skier in black jacket riding on snowmobile in open field,SD_1160_01.jpg,2.5583,2.75,3.43,8.7383
,skier in black jacket riding on snowmobile in open field,SD_1160_10.jpg,2.918,2.8433,2.9633,8.7246
,skier in black jacket riding on snowmobile in open field,SD_1160_11.jpg,2.66,2.56,2.818,8.038
,a sock on a book with a white background,SD_1161_00.jpg,2.4367,2.512,3.1017,8.0504
,a sock on a book with a white background,SD_1161_01.jpg,2.5843,2.8067,2.708,8.099
,a sock on a book with a white background,SD_1161_10.jpg,2.5475,2.292,2.338,7.1775
,a sock on a book with a white background,SD_1161_11.jpg,3.015,2.226,3.15,8.391
,"a plate with various spices and nuts, folk medicine",SD_1162_00.jpg,2.292,2.5714,3.015,7.8784
,"a plate with various spices and nuts, folk medicine",SD_1162_01.jpg,2.558,2.296,2.9783,7.8323
,"a plate with various spices and nuts, folk medicine",SD_1162_10.jpg,2.376,1.9067,2.8886,7.1713
,"a plate with various spices and nuts, folk medicine",SD_1162_11.jpg,2.755,2.4725,2.8933,8.1208
,starfish are arranged on the ground with shells all around,SD_1163_00.jpg,2.166,1.5983,2.824,6.5883
,starfish are arranged on the ground with shells all around,SD_1163_01.jpg,1.948,1.53,2.674,6.152
,starfish are arranged on the ground with shells all around,SD_1163_10.jpg,2.51,2.448,2.792,7.75
,starfish are arranged on the ground with shells all around,SD_1163_11.jpg,1.992,1.85,2.16,6.002
,a bunch of strawberries sitting on top of a table,SD_1164_00.jpg,2.2238,2.1333,3.015,7.3721
,a bunch of strawberries sitting on top of a table,SD_1164_01.jpg,3.3083,3.4014,3.75,10.4597
,a bunch of strawberries sitting on top of a table,SD_1164_10.jpg,2.5825,2.2586,3.574,8.4151
,a bunch of strawberries sitting on top of a table,SD_1164_11.jpg,2.3967,2.1138,3.4925,8.003
,there is a sundialer sitting on a pedestal in a garden,SD_1165_00.jpg,2.295,1.38,2.0814,5.7564
,there is a sundialer sitting on a pedestal in a garden,SD_1165_01.jpg,2.2117,1.96,2.6875,6.8592
,there is a sundialer sitting on a pedestal in a garden,SD_1165_10.jpg,2.1943,2.188,1.902,6.2843
,there is a sundialer sitting on a pedestal in a garden,SD_1165_11.jpg,2.0333,1.906,2.9414,6.8807
,there is a wooden wagon sitting in the middle of a field with grass,SD_1166_00.jpg,2.9167,2.5633,3.4925,8.9725
,there is a wooden wagon sitting in the middle of a field with grass,SD_1166_01.jpg,2.6829,2.3175,3.43,8.4304
,there is a wooden wagon sitting in the middle of a field with grass,SD_1166_10.jpg,2.3689,2.2325,3.2617,7.8631
,there is a wooden wagon sitting in the middle of a field with grass,SD_1166_11.jpg,2.544,2.51,3.64,8.694
,there is a teddy bear sitting on the ground,SD_1167_00.jpg,2.7867,2.66,3.6029,9.0496
,there is a teddy bear sitting on the ground,SD_1167_01.jpg,2.5,2.96,3.5614,9.0214
,there is a teddy bear sitting on the ground,SD_1167_10.jpg,3.015,3.0043,3.6533,9.6726
,there is a teddy bear sitting on the ground,SD_1167_11.jpg,2.5629,2.14,3.3425,8.0454
,tomatoes on the vine with water droplets on them,SD_1168_00.jpg,3.1425,2.7667,3.7512,9.6604
,tomatoes on the vine with water droplets on them,SD_1168_01.jpg,3.2471,3.23,3.9157,10.3928
,tomatoes on the vine with water droplets on them,SD_1168_10.jpg,2.3267,2.4033,3,7.73
,tomatoes on the vine with water droplets on them,SD_1168_11.jpg,2.7475,2.9943,3.6875,9.4293
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",SD_1169_00.jpg,2.574,2.22,3.3638,8.1578
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",SD_1169_01.jpg,2.284,2.1833,3.3212,7.7885
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",SD_1169_10.jpg,2.8471,2.5975,3.605,9.0496
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",SD_1169_11.jpg,2.28,2.306,3.3217,7.9077
,steam trains on a bridge with smoke coming out of it,SD_1170_00.jpg,2.4225,1.6925,3.1925,7.3075
,steam trains on a bridge with smoke coming out of it,SD_1170_01.jpg,2.765,2.3444,3.34,8.4494
,steam trains on a bridge with smoke coming out of it,SD_1170_10.jpg,2.78,2.43,3.486,8.696
,steam trains on a bridge with smoke coming out of it,SD_1170_11.jpg,1.9057,1.9417,2.482,6.3294
,"trolley car on a city street with people walking around, the city of lisbon",SD_1171_00.jpg,2.544,2.1325,3.6127,8.2892
,"trolley car on a city street with people walking around, the city of lisbon",SD_1171_01.jpg,2.2,1.9217,3.3167,7.4384
,"trolley car on a city street with people walking around, the city of lisbon",SD_1171_10.jpg,2.7775,1.47,3.4333,7.6808
,"trolley car on a city street with people walking around, the city of lisbon",SD_1171_11.jpg,2.87,2.31,3.233,8.413
,a branch of a cherry tree with pink flowers,SD_1172_00.jpg,2.864,2.9586,3.2214,9.044
,a branch of a cherry tree with pink flowers,SD_1172_01.jpg,2.1225,1.9986,3.13,7.2511
,a branch of a cherry tree with pink flowers,SD_1172_10.jpg,2.724,2.588,3.1038,8.4158
,a branch of a cherry tree with pink flowers,SD_1172_11.jpg,2.0843,1.94,3.3417,7.366
,a bunch of bananas,SD_1173_00.jpg,1.955,1.4778,3.354,6.7868
,a bunch of bananas,SD_1173_01.jpg,1.9033,1.5867,3.09,6.58
,a bunch of bananas,SD_1173_10.jpg,1.64,1.3563,2.9529,5.9492
,a bunch of bananas,SD_1173_11.jpg,2.986,2.7525,3.7925,9.531
,there is a cucumber growing on a vine with a leaf,SD_1174_00.jpg,2.2257,2.602,2.8725,7.7002
,there is a cucumber growing on a vine with a leaf,SD_1174_01.jpg,2.94,2.5783,2.8186,8.3369
,there is a cucumber growing on a vine with a leaf,SD_1174_10.jpg,2.275,2.1,2.805,7.18
,there is a cucumber growing on a vine with a leaf,SD_1174_11.jpg,2.57,2.38,3.6575,8.6075
,scorpion on the sand with a black tail,SD_1175_00.jpg,2.4587,2.0729,2.352,6.8836
,scorpion on the sand with a black tail,SD_1175_01.jpg,2.07,1.8733,3.015,6.9583
,scorpion on the sand with a black tail,SD_1175_10.jpg,1.8433,1.5257,2.032,5.401
,scorpion on the sand with a black tail,SD_1175_11.jpg,2.282,1.9625,2.4912,6.7357
,someone holding two cones of ice cream in their hands,SD_1176_00.jpg,2.4283,2.4825,2.7529,7.6637
,someone holding two cones of ice cream in their hands,SD_1176_01.jpg,2.826,2.6933,3.1967,8.716
,someone holding two cones of ice cream in their hands,SD_1176_10.jpg,1.92,2.1525,2.4712,6.5437
,someone holding two cones of ice cream in their hands,SD_1176_11.jpg,2.06,1.9967,2.4725,6.5292
,there are many pineapples that are sitting on the ground,SD_1177_00.jpg,2.3525,1.6933,2.8329,6.8787
,there are many pineapples that are sitting on the ground,SD_1177_01.jpg,2.7933,2.4187,3.686,8.898
,there are many pineapples that are sitting on the ground,SD_1177_10.jpg,1.4986,1.34,3.0233,5.8619
,there are many pineapples that are sitting on the ground,SD_1177_11.jpg,2.0575,1.41,3.45,6.9175
,raccoon standing on a rock in a stream of water,SD_1178_00.jpg,3.6267,3.36,3.9812,10.9679
,raccoon standing on a rock in a stream of water,SD_1178_01.jpg,3.4467,3.045,3.102,9.5937
,raccoon standing on a rock in a stream of water,SD_1178_10.jpg,2.89,2.6275,3.59,9.1075
,raccoon standing on a rock in a stream of water,SD_1178_11.jpg,3.15,3.1625,3.476,9.7885
,there are some sea cucumber and lettuce on a plate on a table,SD_1179_00.jpg,2.262,2.1875,2.94,7.3895
,there are some sea cucumber and lettuce on a plate on a table,SD_1179_01.jpg,1.9775,1.29,2.514,5.7815
,there are some sea cucumber and lettuce on a plate on a table,SD_1179_10.jpg,2.074,1.8375,3.0367,6.9482
,there are some sea cucumber and lettuce on a plate on a table,SD_1179_11.jpg,1.9725,1.47,2.6786,6.1211
,there are many sunflowers that are blooming in the field,SD_1180_00.jpg,2.3186,1.84,3.29,7.4486
,there are many sunflowers that are blooming in the field,SD_1180_01.jpg,2.62,1.9643,3.18,7.7643
,there are many sunflowers that are blooming in the field,SD_1180_10.jpg,2.46,2.3417,3.72,8.5217
,there are many sunflowers that are blooming in the field,SD_1180_11.jpg,2.53,2.0425,3.434,8.0065
,"a window in a dark room with a light coming through it, dramatic backlit window",SD_1181_00.jpg,2.915,2.8375,2.98,8.7325
,"a window in a dark room with a light coming through it, dramatic backlit window",SD_1181_01.jpg,2.455,2.61,3.205,8.27
,"a window in a dark room with a light coming through it, dramatic backlit window",SD_1181_10.jpg,2.87,2.615,3.2633,8.7483
,"a window in a dark room with a light coming through it, dramatic backlit window",SD_1181_11.jpg,2.0667,1.4914,2.5462,6.1043
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",SD_1182_00.jpg,2.7067,2.3525,3.162,8.2212
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",SD_1182_01.jpg,3.015,2.9775,3.7088,9.7013
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",SD_1182_10.jpg,2.72,2.4033,3.2575,8.3808
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",SD_1182_11.jpg,2.5486,2.368,3.07,7.9866
,a violin on a black surface with a reflection,SD_1183_00.jpg,1.955,1.9763,3.2025,7.1338
,a violin on a black surface with a reflection,SD_1183_01.jpg,1.622,1.5225,2.4438,5.5883
,a violin on a black surface with a reflection,SD_1183_10.jpg,2.5743,2.192,3.074,7.8403
,a violin on a black surface with a reflection,SD_1183_11.jpg,2.72,2.532,3.02,8.272
,there is a toilet and a shower in a bathroom with tiled walls,SD_1184_00.jpg,2.152,2.5814,2.746,7.4794
,there is a toilet and a shower in a bathroom with tiled walls,SD_1184_01.jpg,3.042,2.66,3.412,9.114
,there is a toilet and a shower in a bathroom with tiled walls,SD_1184_10.jpg,2.745,2.72,3.4567,8.9217
,there is a toilet and a shower in a bathroom with tiled walls,SD_1184_11.jpg,2.4883,1.928,3.2317,7.648
,two boxes are stacked on top of each other on a table,SD_1185_00.jpg,2.6,2.3267,2.87,7.7967
,two boxes are stacked on top of each other on a table,SD_1185_01.jpg,2.9775,2.6,2.7325,8.31
,two boxes are stacked on top of each other on a table,SD_1185_10.jpg,2.3183,2.0738,2.618,7.0101
,two boxes are stacked on top of each other on a table,SD_1185_11.jpg,2.4343,2.3414,2.8537,7.6294
,there are brooms,SD_1186_00.jpg,2.37,2.12,2.9629,7.4529
,there are brooms,SD_1186_01.jpg,2.1486,2.02,2.47,6.6386
,there are brooms,SD_1186_10.jpg,1.5,1.398,2.6986,5.5966
,there are brooms,SD_1186_11.jpg,1.7517,1.25,2.405,5.4067
,a pile of old cassettes on a table,SD_1187_00.jpg,3.29,3.0557,3.7762,10.1219
,a pile of old cassettes on a table,SD_1187_01.jpg,2.4133,2.5633,3.285,8.2616
,a pile of old cassettes on a table,SD_1187_10.jpg,2.2567,2.5733,3.1512,7.9812
,a pile of old cassettes on a table,SD_1187_11.jpg,2.4267,2.5967,3.572,8.5954
,a black motorcycle helmet with the number eight on it,SD_1188_00.jpg,2.72,2.3557,1.8733,6.949
,a black motorcycle helmet with the number eight on it,SD_1188_01.jpg,2.4267,1.986,2.6887,7.1014
,a black motorcycle helmet with the number eight on it,SD_1188_10.jpg,2.28,3.0767,2.205,7.5617
,a black motorcycle helmet with the number eight on it,SD_1188_11.jpg,2.714,2.3133,3.3614,8.3887
,"there is a man and woman sitting on a bench under a tree, parks and public space",SD_1189_00.jpg,2.17,1.676,3.1688,7.0148
,"there is a man and woman sitting on a bench under a tree, parks and public space",SD_1189_01.jpg,1.9829,1.5612,3.1229,6.667
,"there is a man and woman sitting on a bench under a tree, parks and public space",SD_1189_10.jpg,2.3,1.736,3.3283,7.3643
,"there is a man and woman sitting on a bench under a tree, parks and public space",SD_1189_11.jpg,1.7644,1.5567,3.0243,6.3454
,a pair of gloves,SD_1190_00.jpg,3.115,3.388,3.724,10.227
,a pair of gloves,SD_1190_01.jpg,2.5367,2.652,3.32,8.5087
,a pair of gloves,SD_1190_10.jpg,3.05,3.3333,3.648,10.0313
,a pair of gloves,SD_1190_11.jpg,2.9329,2.91,3.5286,9.3715
,a keyboard and mouse on a pink surface,SD_1191_00.jpg,2.0286,1.9214,2.1788,6.1288
,a keyboard and mouse on a pink surface,SD_1191_01.jpg,2.178,2.195,2.7529,7.1259
,a keyboard and mouse on a pink surface,SD_1191_10.jpg,2.33,2.1333,3.0633,7.5266
,a keyboard and mouse on a pink surface,SD_1191_11.jpg,1.8929,2.2557,2.7086,6.8572
,a man playing drums on the beach,SD_1192_00.jpg,1.855,1.53,3.2956,6.6806
,a man playing drums on the beach,SD_1192_01.jpg,2.55,2.12,3.4925,8.1625
,a man playing drums on the beach,SD_1192_10.jpg,2.5743,1.704,3.4886,7.7669
,a man playing drums on the beach,SD_1192_11.jpg,1.8,1.7867,2.9975,6.5842
,there is a bottle of perfume with a flower on the side,SD_1193_00.jpg,2.66,2.4,3.3583,8.4183
,there is a bottle of perfume with a flower on the side,SD_1193_01.jpg,2.542,2.2067,3.2667,8.0154
,there is a bottle of perfume with a flower on the side,SD_1193_10.jpg,3.045,2.94,3.7675,9.7525
,there is a bottle of perfume with a flower on the side,SD_1193_11.jpg,2.87,2.5325,3.5333,8.9358
,yellow phone booth on sidewalk next to sidewalk with grass and trees,SD_1194_00.jpg,2.5,3.358,2.6871,8.5451
,yellow phone booth on sidewalk next to sidewalk with grass and trees,SD_1194_01.jpg,2.78,2.7317,3.705,9.2167
,yellow phone booth on sidewalk next to sidewalk with grass and trees,SD_1194_10.jpg,2.9714,3.2029,3.5575,9.7318
,yellow phone booth on sidewalk next to sidewalk with grass and trees,SD_1194_11.jpg,3.014,2.9286,2.9633,8.9059
,a radio sitting on a table with a blurry background,SD_1195_00.jpg,2.785,2.6983,2.9686,8.4519
,a radio sitting on a table with a blurry background,SD_1195_01.jpg,2.162,2.1,2.97,7.232
,a radio sitting on a table with a blurry background,SD_1195_10.jpg,2.52,2.674,3.4886,8.6826
,a radio sitting on a table with a blurry background,SD_1195_11.jpg,3.292,2.91,3.632,9.834
,there is a clock that is sitting on a table,SD_1196_00.jpg,2.5175,2.35,3.0233,7.8908
,there is a clock that is sitting on a table,SD_1196_01.jpg,2.9417,2.9829,3.852,9.7766
,there is a clock that is sitting on a table,SD_1196_10.jpg,3.34,2.755,3.6657,9.7607
,there is a clock that is sitting on a table,SD_1196_11.jpg,2.415,1.7111,3.6557,7.7818
,there is a scale with two coins on it and a gold plate,SD_1197_00.jpg,2.288,2.0129,2.382,6.6829
,there is a scale with two coins on it and a gold plate,SD_1197_01.jpg,2.4138,1.9667,2.474,6.8545
,there is a scale with two coins on it and a gold plate,SD_1197_10.jpg,2.2383,2.235,2.052,6.5253
